#,Title,Artist,Album,Source,Duration,Acousticness,Artist Country,Danceability,Energy,Explicit,Liveness,Genres,Popularity,Speechiness
1,Good Time,Earl St. Clair,Good Time,My Saved Tracks,3:57,0.056,,0.524,0.806,No,0.281,—,35,0.360
2,Simmerdown,Nostalgia 77,The Sleepwalking Society,My Saved Tracks,3:27,0.181,GB,0.805,0.288,No,0.115,—,51,0.044
3,Humo,Rupatrupa,Directo en Sdma,My Saved Tracks,4:00,0.587,XE,0.484,0.455,No,0.123,pop,59,0.036
4,La Nostra Pelle,Ex-Otago,Marassi (Deluxe Edition),My Saved Tracks,3:48,0.589,IT,0.721,0.572,No,0.112,indie pop,48,0.047
5,Rock & Roll,Oliver Malcolm,Rock & Roll,My Saved Tracks,2:19,0.329,,0.427,0.824,No,0.222,—,66,0.297
6,Five in the Morning,Ripe,Five in the Morning,My Saved Tracks,3:10,0.181,US,0.754,0.750,No,0.067,"funk, alternative pop",45,0.052
7,Grizzly Bear,Angus & Julia Stone,Angus & Julia Stone (Deluxe),My Saved Tracks,4:08,0.503,AU,0.902,0.438,No,0.101,"folk, indie pop",60,0.049
8,Love Sick Doctor,Thunder Jackson,Thunder Jackson,My Saved Tracks,3:29,0.347,US,0.560,0.570,No,0.342,—,63,0.063
9,Guantanamera,Guitarricadelafuente,Guantanamera,My Saved Tracks,3:10,0.875,ES,0.512,0.263,No,0.110,—,63,0.086
10,Ya no duele,Hoonine,Ya no duele,My Saved Tracks,3:24,0.150,ES,0.553,0.882,No,0.158,—,36,0.105
11,no me queda energía,Carmen Lancho,no me queda energía,My Saved Tracks,1:05,0.916,,0.692,0.391,No,0.109,—,33,0.081
12,Badlands,Kevin Morby,Badlands,My Saved Tracks,3:54,0.758,US,0.712,0.582,No,0.109,"singer-songwriter, indie folk, folk rock",56,0.048
13,Lonely Boy - 2021 Remaster,The Black Keys,El Camino (2021 Remaster),My Saved Tracks,3:13,0.004,US,0.362,0.925,No,0.167,"blues rock, blues, rock, garage rock, alternative rock, garage rock revival, indie rock",72,0.078
14,Are You Gonna Be My Girl,Jet,Get Born (Deluxe Edition),My Saved Tracks,3:33,0.001,AU,0.606,0.957,No,0.140,"garage rock, rock, alternative rock, garage rock revival, hard rock",80,0.081
15,The Way You Look At Me,Kay Young,The Way You Look At Me,My Saved Tracks,3:40,0.054,GB,0.730,0.670,No,0.230,—,39,0.142
16,I Need A Dollar,Aloe Blacc,Good Things,My Saved Tracks,4:03,0.199,US,0.840,0.481,No,0.087,"contemporary r&b, soul, neo soul, r&b, pop soul",71,0.034
17,Eight,Kimberdavisson,Eight,My Saved Tracks,2:04,0.480,,0.805,0.575,No,0.125,—,62,0.148
18,Ask,Kevinlerhen,Ask,My Saved Tracks,2:09,0.272,,0.736,0.508,No,0.309,—,52,0.381
19,URL To Her Body,My Boy Arlo,URL To Her Body,My Saved Tracks,3:36,0.295,,0.867,0.420,No,0.100,—,68,0.052
20,Alabama Rhythm,Slick Krugers,"The Traveling Alchemist, Vol. 1",My Saved Tracks,2:48,0.321,,0.889,0.486,No,0.100,—,64,0.045
21,Camouflage,Milky Chance,Trip Tape III,My Saved Tracks,2:25,0.183,DE,0.739,0.660,No,0.209,"indie folk, folktronica, indie pop",66,0.029
22,Better Days,The Meltdown,The Meltdown,My Saved Tracks,3:57,0.676,AU,0.812,0.398,No,0.077,"blues, r&b, soul",65,0.040
23,High No More,Hajaj,High No More,My Saved Tracks,3:18,0.011,SA,0.882,0.274,No,0.111,—,73,0.063
24,PIMP,Bacao Rhythm & Steel Band,55,My Saved Tracks,3:14,0.456,DE,0.672,0.858,No,0.104,funk,56,0.145
25,I Feel Love,Aurval,I Feel Love,My Saved Tracks,3:23,0.331,,0.628,0.626,No,0.541,—,40,0.359
26,Mr. Postman,Malditho.wav,Mr. Postman,My Saved Tracks,3:43,0.033,,0.728,0.590,No,0.633,—,54,0.041
27,Veloce,The Grove,Veloce,My Saved Tracks,3:24,0.299,,0.708,0.444,No,0.119,—,50,0.084
28,Slowburn Theory,Cloud Chief,Slowburn Theory,My Saved Tracks,2:30,0.443,,0.851,0.392,No,0.099,—,57,0.261
29,Echoes of Velo,Slick Krugers,"The Traveling Alchemist, Vol. 1",My Saved Tracks,3:54,0.087,,0.507,0.791,No,0.952,—,67,0.348
30,Loving You Is All I Want to Do,Roseaux,Roseaux III,My Saved Tracks,3:39,0.881,FR,0.819,0.306,No,0.106,"soul, jazz",41,0.041
31,Night Sweats,Sunbörn,Sunbörn,My Saved Tracks,3:58,0.282,DK,0.590,0.634,No,0.098,—,28,0.099
32,Flying,Okonski,Flying,My Saved Tracks,3:47,0.513,US,0.389,0.844,No,0.104,—,45,0.099
33,"he's a demon, he's a devil, he's a doll",Nicole Zuraitis,part I - the mirror,My Saved Tracks,3:58,0.910,US,0.573,0.107,No,0.107,—,31,0.065
34,Nemesis,Benjamin Clementine,At Least For Now,My Saved Tracks,5:04,0.492,GB,0.617,0.628,No,0.133,—,44,0.060
35,Body Flows,Nubiyan Twist,Body Flows,My Saved Tracks,3:06,0.051,GB,0.729,0.846,No,0.045,"jazz, afrobeat, hip hop, soul",37,0.061
36,Instant Playa,Boztown,Where You Go,My Saved Tracks,1:41,0.249,FR,0.656,0.799,No,0.870,"hip hop, instrumental hip hop, lo-fi, chillwave, downtempo, lo-fi hip hop, instrumental, boom bap",47,0.129
37,sunny,j'san,sunny,My Saved Tracks,2:19,0.468,FR,0.811,0.429,No,0.109,"lo-fi, lo-fi hip hop, hip hop, chillwave, instrumental hip hop, downtempo, instrumental, boom bap",47,0.079
38,ITALIA STARTER PACK,J-AX,ITALIA STARTER PACK,My Saved Tracks,2:50,0.059,IT,0.669,0.873,No,0.404,hip hop,73,0.040
39,Boliviana,Ibrahim Ferrer,Buenos Hermanos,My Saved Tracks,3:50,0.877,CU,0.544,0.405,No,0.144,son cubano,54,0.047
40,BLUH BLUH BLUH,_BY.ALEXANDER,MEMORIES FOR SALE ---AT---> 66 GREENE ST SOHO NY,My Saved Tracks,2:20,0.073,GB,0.889,0.648,No,0.135,—,52,0.061
41,All The Small Things,Dream Tunes,All The Small Things,My Saved Tracks,2:20,0.961,,0.700,0.094,No,0.093,—,48,0.067
42,Venga Lo Que Venga,Kaze,No Encajes,My Saved Tracks,3:12,0.654,ES,0.726,0.772,No,0.128,—,41,0.112
43,Amaneceres,SFDK,Inkebrantable,My Saved Tracks,2:55,0.621,ES,0.723,0.620,No,0.113,hip hop,50,0.184
44,Tiranosaurius Rex,Kase.O,Divertimentos (Vol.1),My Saved Tracks,3:04,0.059,ES,0.854,0.756,No,0.061,—,57,0.283
45,#RapSinCorte XXIV,Foyone,RAPSINCORTE. EL ALBUM,My Saved Tracks,2:18,0.606,ES,0.515,0.879,No,0.397,—,29,0.255
46,Tumbala,Chimbala,Tumbala,My Saved Tracks,3:06,0.298,DO,0.883,0.830,No,0.405,—,57,0.059
47,Otra Vez (feat. J Balvin),Zion & Lennox,Motivan2,My Saved Tracks,3:29,0.056,PR,0.832,0.772,No,0.440,"reggaeton, latin",82,0.100
48,Salió El Sol,Don Omar,King Of Kings,My Saved Tracks,5:15,0.106,PR,0.887,0.701,No,0.047,"reggaeton, latin",82,0.087
49,Safari,J Balvin,Energía,My Saved Tracks,3:25,0.531,CO,0.689,0.675,No,0.115,"reggaeton, hip hop, latin, pop, latin pop",77,0.320
50,El Merengue,Marshmello,Sugar Papi,My Saved Tracks,3:09,0.089,US,0.777,0.774,No,0.091,"future bass, edm, progressive house, hip hop, trap edm",80,0.055
51,Dile,Don Omar,The Last Don,My Saved Tracks,3:24,0.186,PR,0.822,0.713,No,0.043,"reggaeton, latin",85,0.122
52,YO y TÚ,Ovy On The Drums,YO y TÚ,My Saved Tracks,3:18,0.159,CO,0.831,0.753,No,0.137,"latin, reggaeton",85,0.083
53,Julia,DON WEST,Give Me All Your Love,My Saved Tracks,3:09,0.138,AU,0.744,0.818,No,0.144,—,66,0.039
54,Disco Yes,Tom Misch,Geography,My Saved Tracks,4:40,0.420,GB,0.926,0.549,No,0.298,"nu jazz, neo soul, jazz-funk",62,0.093
55,Rumble And Sway,Jamie N Commons,Rumble And Sway EP,My Saved Tracks,3:05,0.106,GB,0.645,0.821,No,0.137,"blues, pop, roots rock, blues rock, country, alternative rock, americana",45,0.248
56,Still Into You,CYRIL,Still Into You,My Saved Tracks,2:31,0.015,AU,0.955,0.571,No,0.099,—,76,0.254
57,Island,Roseaux,Roseaux II,My Saved Tracks,4:41,0.712,FR,0.742,0.375,No,0.096,"soul, jazz",38,0.224
58,Freedom - Soul Goodman Remix,Waldeck,Freedom (Soul Goodman Remix),My Saved Tracks,3:02,0.314,AT,0.952,0.680,No,0.119,"easy listening, chillout",37,0.059
59,Illegal Hit - Instrumental Edit,Yttling Jazz,Illegal Hit (Instrumental Edit),My Saved Tracks,3:22,0.392,SE,0.692,0.314,No,0.107,—,20,0.082
60,Booty Swing,Parov Stelar,"The Princess, Pt. Two",My Saved Tracks,3:17,0.259,AT,0.850,0.668,No,0.103,"electro swing, electronic, nu jazz, trip hop, house",62,0.047
61,"Renaissance (Main Title Theme) - from ""The White Lotus: Season 2""",Cristobal Tapia De Veer,"Renaissance (Main Title Theme) [from ""The White Lotus: Season 2""]",My Saved Tracks,1:38,0.760,CA,0.450,0.476,No,0.108,—,1,0.034
62,Back Alley Rhythm,GrooveBoom,The Avenue wave 1,My Saved Tracks,4:14,0.265,,0.863,0.527,No,0.134,—,48,0.064
63,Witchcraft,Ben L'Oncle Soul,Under My Skin,My Saved Tracks,4:39,0.190,FR,0.688,0.380,No,0.070,soul,38,0.026
64,Burning Out,The Grove,Burning Out,My Saved Tracks,3:26,0.246,,0.485,0.334,No,0.108,—,41,0.239
65,Stay,Ben L'Oncle Soul,Red Mango,My Saved Tracks,4:38,0.088,FR,0.659,0.668,No,0.133,soul,43,0.097
66,The Boss Way,Barry Darkley,The Boss Way,My Saved Tracks,3:04,0.026,,0.836,0.715,No,0.064,—,44,0.150
67,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),My Saved Tracks,2:58,0.091,DE,0.634,0.824,No,0.119,—,80,0.047
68,Clouds,BUNT.,Levi Don't Do It,My Saved Tracks,2:38,0.226,DE,0.700,0.748,No,0.104,"dance, folk, house",77,0.077
69,DIABOLICAL,Quantacious,DIABOLICAL,My Saved Tracks,1:46,0.402,,0.763,0.865,No,0.065,—,49,0.312
70,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],My Saved Tracks,4:49,0.087,US,0.744,0.766,No,0.509,"hip hop, pop rap, electronic, dance-pop, west coast hip hop, pop",85,0.026
71,Better,nimino,Better,My Saved Tracks,3:58,0.204,GB,0.816,0.761,No,0.061,electronic,75,0.135
72,Violet,Connor Price,Spin The Globe,My Saved Tracks,2:02,0.018,,0.924,0.716,No,0.128,"trap, hip hop, pop, pop rap",67,0.054
73,Un anno d'amore,Mina,Studio Uno,My Saved Tracks,3:13,0.699,IT,0.457,0.338,No,0.105,"pop, easy listening, bossa nova, jazz, nuevo tango, rock, blues, schlager, canción melódica",54,0.028
74,Sweet Water,The Meltdown,Better Days,My Saved Tracks,3:51,0.632,AU,0.712,0.565,No,0.095,"blues, r&b, soul",62,0.033
75,Death in the Valley!,Goldtooth,Death in the Valley!,My Saved Tracks,3:44,0.021,,0.788,0.542,No,0.074,—,39,0.053
76,Echoes of Velo,Slick Krugers,"The Traveling Alchemist, Vol. 1",My Saved Tracks,3:54,0.096,,0.705,0.739,No,0.954,—,37,0.112
77,Alabama Rhythm,Slick Krugers,"The Traveling Alchemist, Vol. 1",My Saved Tracks,2:48,0.341,,0.887,0.500,No,0.113,—,31,0.045
78,Crazy,Aerosmith,Young Lust: The Aerosmith Anthology,My Saved Tracks,5:16,0.075,US,0.358,0.863,No,0.180,"hard rock, blues rock, rock, classic rock, glam metal, rock and roll, aor, arena rock",0,0.038
79,On The Road Again,Canned Heat,Pure 60s,My Saved Tracks,3:05,0.733,US,0.356,0.284,No,0.325,"blues rock, blues, electric blues, boogie rock, rock, folk rock",2,0.043
80,Heart of Gold - 2009 Remaster,Neil Young,Harvest (2009 Remaster),My Saved Tracks,3:07,0.189,CA,0.541,0.459,No,0.099,"folk rock, rock, country rock, folk, hard rock, country, contemporary folk, classic rock, singer-songwriter, blues",66,0.030
81,Piano Man,Billy Joel,The Essential Billy Joel 3.0,My Saved Tracks,5:36,0.600,US,0.334,0.472,No,0.317,"piano rock, pop, rock, pop rock, soft rock, classic rock, singer-songwriter",0,0.028
82,Scratch My Back,The Fabulous Thunderbirds,The Fabulous Thunderbirds,My Saved Tracks,3:52,0.496,US,0.775,0.499,No,0.114,"blues rock, texas blues, blues, electric texas blues",0,0.042
83,Cristo Redentor - Live,Canned Heat,Songs from the Road,My Saved Tracks,8:18,0.789,US,0.545,0.320,No,0.406,"blues rock, blues, electric blues, boogie rock, rock, folk rock",0,0.036
84,Run Through The Jungle,Creedence Clearwater Revival,Creedence Clearwater Revival - Best Of (Deluxe),My Saved Tracks,3:04,0.060,US,0.659,0.686,No,0.089,"swamp rock, rock, country rock, blues rock, roots rock, southern rock, classic rock, rock and roll, folk rock, soft rock, rockabilly",0,0.039
85,Let's Unite the Whole World at Christmas,James Brown,Christmas Soul Essentials,My Saved Tracks,2:42,0.757,US,0.513,0.337,No,0.139,"soul, funk, disco, christmas music, blues",0,0.030
86,Cabriolet,Mar Malade,MAR Malade,My Saved Tracks,4:02,0.721,DE,0.872,0.497,No,0.221,—,42,0.040
87,Around The Bend,Cari Cari,Welcome To Kookoo Island,My Saved Tracks,3:43,0.610,AT,0.551,0.482,No,0.121,"indie rock, pop rock",54,0.035
88,The Love,Dekker,Slow Reveal: Chapter One,My Saved Tracks,2:38,0.677,GB,0.695,0.470,No,0.104,—,26,0.037
89,Lost Horse,Asaf Avidan,Anagnorisis,My Saved Tracks,3:53,0.033,IL,0.716,0.700,No,0.140,"indie rock, singer-songwriter, pop, indie folk, rock",46,0.042
90,Loved by You,KIRBY,Loved by You,My Saved Tracks,4:16,0.963,US,0.634,0.175,No,0.106,—,64,0.043
91,Night over Manaus,Boozoo Bajou,Satta,My Saved Tracks,6:19,0.055,DE,0.839,0.951,No,0.267,"downtempo, trip hop, dub, electronic, ambient dub, reggae, lounge, nu jazz",55,0.049
92,Tieduprightnow,Parcels,Tieduprightnow,My Saved Tracks,4:09,0.291,AU,0.863,0.533,No,0.079,"nu disco, indietronica, boogie, disco",74,0.048
93,Aliento De La Marea (Uno Mas),We're All F*cked,My Day In Abades,My Saved Tracks,2:29,0.772,,0.412,0.227,No,0.116,—,52,0.044
94,Im Doing Fine,Marino,Im Doing Fine,My Saved Tracks,1:39,0.425,,0.940,0.498,No,0.258,—,76,0.088
95,He Perdido Contigo,Omara Portuondo,Omara Portuondo (Buena Vista Social Club Presents),My Saved Tracks,3:49,0.926,CU,0.689,0.250,No,0.142,"latin, bolero, son cubano",51,0.037
96,Warriors,Too Many Zooz,Subway Gawdz,My Saved Tracks,3:31,0.010,US,0.615,0.594,No,0.074,"brass band, nu jazz, jazz fusion, jazz, instrumental",48,0.282
97,I Only Smoke When I Drink,nimino,I Only Smoke When I Drink,My Saved Tracks,3:18,0.334,GB,0.880,0.729,No,0.185,electronic,77,0.176
98,"Sweet Disposition (a moment, a love)",Lost Frequencies,"Sweet Disposition (a moment, a love)",My Saved Tracks,3:32,0.069,BE,0.644,0.870,No,0.100,"house, edm, pop, dance, deep house",76,0.072
99,La Travesia,Juan Luis Guerra 4.40,La Llave De Mi Corazon,My Saved Tracks,3:25,0.677,DO,0.812,0.875,No,0.075,"latin pop, bachata, merengue, salsa, latin",70,0.054
100,Valió la Pena - Salsa Version,Marc Anthony,Valio La Pena,My Saved Tracks,4:49,0.332,US,0.521,0.704,No,0.067,"latin pop, salsa, latin, pop, ballad",58,0.051
101,Llorarás,La Dimensión Latina,Dimensión Latina '75,My Saved Tracks,3:48,0.549,VE,0.704,0.884,No,0.049,"salsa, latin",73,0.053
102,The Kids Aren't Alright,The Offspring,Americana,My Saved Tracks,3:00,0.007,US,0.523,0.943,No,0.058,"punk rock, pop punk, punk, skate punk, ska punk, comedy rock, melodic hardcore, rock, alternative rock, grunge",84,0.034
103,Santeria,Sublime,Sublime,My Saved Tracks,3:02,0.027,US,0.682,0.765,No,0.188,"ska punk, alternative rock, reggae, dub, ska, punk rock, rapcore, rock, punk, skacore",85,0.040
104,Mas Que Nada,Sérgio Mendes,Timeless,My Saved Tracks,4:22,0.030,BR,0.747,0.928,No,0.113,"bossa nova, latin jazz, jazz, latin, disco, soft rock",70,0.082
105,Let's Get It Started - Spike Mix,Black Eyed Peas,Elephunk,My Saved Tracks,3:37,0.105,US,0.783,0.794,No,0.304,"hip hop, pop rap, electronic, dance-pop, west coast hip hop, pop",79,0.120
106,What I Need,Burgundy X,What I Need,My Saved Tracks,2:00,0.094,,0.761,0.700,No,0.116,—,52,0.060
107,Soul Searching,Dafuniks,Past Present Future...,My Saved Tracks,3:47,0.199,,0.805,0.687,No,0.147,—,56,0.185
108,Dance More,UKE.NADA,Dance More,My Saved Tracks,2:29,0.652,,0.696,0.486,No,0.090,—,50,0.527
109,La Travesia - Afro House Extended,Afro Nation,La Travesia (Afro House Extended),My Saved Tracks,3:10,0.069,,0.916,0.876,No,0.056,—,55,0.260
110,We Fly,Ours Samplus,Last Frontier,My Saved Tracks,3:54,0.182,FR,0.667,0.490,No,0.133,"trip hop, electronic, hip hop, electro, jazz",42,0.044
111,Big City Life,Luude,Big City Life,My Saved Tracks,2:26,0.018,AU,0.615,0.902,No,0.103,—,70,0.086
112,Tall Ground - Bonus Track,Deluxe,Stachelight,My Saved Tracks,3:35,0.140,FR,0.818,0.623,No,0.542,—,49,0.111
113,OLIMPO,Milo j,166 (DELUXE) retirada,My Saved Tracks,2:49,0.594,AR,0.572,0.690,No,0.336,—,79,0.051
114,Capaz vs We Found Love (Mashup DJ Remix),Vilu Gontero,Capaz Vs We Found Love (Mashup DJ Remix),My Saved Tracks,2:50,0.076,,0.703,0.766,No,0.138,—,65,0.041
115,BOLO (feat. YDG),PENOMECO,Organic,My Saved Tracks,2:51,0.361,KR,0.735,0.668,No,0.169,—,61,0.086
116,Aluminum,Ecstratone,Aluminum,My Saved Tracks,1:46,0.132,,0.862,0.538,No,0.097,—,24,0.259
117,Close To Me,The Deltaz,Close To Me,My Saved Tracks,2:55,0.443,,0.698,0.611,No,0.120,—,9,0.031
118,Just Be You,callmestevieray,Just Be You,My Saved Tracks,3:06,0.495,US,0.795,0.514,No,0.100,—,45,0.149
119,Two Cents,Alumni Cloud,Two Cents,My Saved Tracks,3:42,0.287,,0.797,0.467,No,0.098,—,1,0.139
120,Ambidextrous,Connor Price,ICONIC,My Saved Tracks,1:52,0.052,,0.827,0.714,No,0.304,"trap, hip hop, pop, pop rap",53,0.111
121,The Ghost of Tom Joad,Bruce Springsteen,The Essential Bruce Springsteen,My Saved Tracks,4:21,0.489,US,0.450,0.117,No,0.109,"rock, heartland rock, americana, singer-songwriter, pop rock, folk, rock and roll, aor, contemporary folk",0,0.038
122,Second Son,The Deltaz,Barrelhouse Boys,My Saved Tracks,3:54,0.170,,0.480,0.522,No,0.334,—,7,0.028
123,Por Las Buenas,Billo's Caracas Boys,Por Las Buenas,My Saved Tracks,2:35,0.162,VE,0.574,0.562,No,0.106,"latin, cumbia",60,0.069
124,Kalemba (Wegue - Wegue),Buraka Som Sistema,Black Diamond,My Saved Tracks,3:57,0.028,PT,0.827,0.805,No,0.049,kuduro,56,0.212
125,A Little Longer,The Deltaz,A Little Longer,My Saved Tracks,3:14,0.694,,0.577,0.672,No,0.107,—,23,0.050
126,Two Cents,Alumni Cloud,Two Cents,My Saved Tracks,3:42,0.294,,0.797,0.469,No,0.098,—,0,0.133
127,Feliz,Chimbala,Feliz,My Saved Tracks,2:57,0.373,DO,0.848,0.852,No,0.086,—,65,0.103
128,Momentos felices,Ramudo,Momentos felices,My Saved Tracks,2:46,0.143,,0.589,0.893,No,0.078,—,29,0.208
129,Reflections,Sona Jobarteh,Motherland - The Score,My Saved Tracks,1:56,0.885,GB,0.565,0.216,No,0.110,griot,54,0.037
130,Too Much Whiskey,Marcus King,El Dorado,My Saved Tracks,3:54,0.291,US,0.554,0.738,No,0.236,country,59,0.032
131,Cantaré,Lia Kali,Kaelis,My Saved Tracks,2:52,0.318,ES,0.554,0.728,No,0.654,—,55,0.457
132,La Barca,Los Tres Caballeros,Los Tres Caballeros,My Saved Tracks,3:17,0.907,,0.663,0.391,No,0.180,—,55,0.037
133,Popurrí: Amor Mío / Sabrá Dios / Sabor a Mí,Alvaro Carrillo,La Coleccion Del Siglo,My Saved Tracks,4:36,0.799,,0.692,0.255,No,0.125,—,47,0.056
134,New Attitude,Club des Belugas,New Attitude,My Saved Tracks,3:37,0.143,DE,0.790,0.588,No,0.102,"jazz, nu jazz, lounge, electro swing",46,0.037
135,I Wouldn't Change a Thing (Alex Finkin Remix),Robyn Bennett,I Wouldn't Change a Thing (Alex Finkin Remix),My Saved Tracks,2:43,0.148,,0.966,0.306,No,0.094,—,23,0.314
136,Tear The Roof Off,The Next Movement,Tear The Roof Off,My Saved Tracks,3:16,0.188,CH,0.804,0.752,No,0.113,"funk, funk rock",28,0.112
137,Por Debajo De La Mesa,Serena Mendes,Por Debajo De La Mesa,My Saved Tracks,2:59,0.795,,0.732,0.399,No,0.127,—,40,0.043
138,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",Flo Rida,My House,My Saved Tracks,3:44,0.024,US,0.854,0.766,No,0.079,"pop rap, dance-pop, hip hop, electronic, electropop, southern hip hop, hip house",68,0.141
139,Is This Love - Remix,Bob Marley & The Wailers,Is This Love (Remix),My Saved Tracks,3:19,0.034,JM,0.813,0.686,No,0.293,"reggae, roots reggae, ska, rocksteady, jamaican ska, dub",63,0.035
140,A River's Invitation,The California Honeydrops,A River's Invitation,My Saved Tracks,6:09,0.164,US,0.490,0.649,No,0.083,blues,0,0.062
141,When It Was Wrong,The California Honeydrops,A River's Invitation,My Saved Tracks,3:34,0.290,US,0.640,0.741,No,0.088,blues,0,0.065
142,Brokedown- Parts 1 and 2,The California Honeydrops,A River's Invitation,My Saved Tracks,6:07,0.059,US,0.435,0.885,No,0.063,blues,0,0.154
143,Cry Baby Blues,The California Honeydrops,A River's Invitation,My Saved Tracks,4:53,0.655,US,0.559,0.192,No,0.092,blues,0,0.054
144,Jolie,The California Honeydrops,A River's Invitation,My Saved Tracks,3:49,0.344,US,0.708,0.575,No,0.363,blues,0,0.036
145,Crazy Girls,The California Honeydrops,A River's Invitation,My Saved Tracks,3:57,0.184,US,0.689,0.630,No,0.463,blues,0,0.075
146,On a Rainy Day,The California Honeydrops,A River's Invitation,My Saved Tracks,3:39,0.400,US,0.819,0.295,No,0.084,blues,0,0.102
147,This Time,The California Honeydrops,A River's Invitation,My Saved Tracks,4:44,0.470,US,0.625,0.790,No,0.368,blues,0,0.115
148,Lead Me Home,The California Honeydrops,A River's Invitation,My Saved Tracks,3:55,0.468,US,0.477,0.373,No,0.184,blues,0,0.027
149,Rockaway,The California Honeydrops,A River's Invitation,My Saved Tracks,4:15,0.378,US,0.711,0.626,No,0.064,blues,0,0.082
150,Long Way,The California Honeydrops,A River's Invitation,My Saved Tracks,5:40,0.255,US,0.685,0.548,No,0.090,blues,0,0.069
151,Move,Kabusa Oriental Choir,Liturgy,My Saved Tracks,4:11,0.099,NG,0.740,0.668,No,0.233,—,38,0.035
152,Extra Mile,Deluxe,The Deluxe Family Show,My Saved Tracks,5:03,0.244,FR,0.699,0.689,No,0.873,—,43,0.226
153,Bachata Rosa,Juan Luis Guerra 4.40,Bachata Rosa,My Saved Tracks,4:17,0.442,DO,0.628,0.651,No,0.242,"latin pop, bachata, merengue, salsa, latin",73,0.026
154,capaz (merengueton),Alleh,LA CIUDAD,My Saved Tracks,2:53,0.082,VE,0.872,0.614,No,0.135,—,38,0.181
155,The Last Of The Honey Bees,Sam Burchfield,Graveyard Flower,My Saved Tracks,3:50,0.821,US,0.498,0.570,No,0.153,—,57,0.035
156,Dandelion,Oliver Hazard,Dandelion,My Saved Tracks,3:10,0.591,US,0.644,0.597,No,0.093,—,49,0.047
157,Alaska,Caiola,Only Real When Shared,My Saved Tracks,3:45,0.860,,0.462,0.417,No,0.106,—,59,0.034
158,Way out Beyond,Layup,Way out Beyond,My Saved Tracks,3:13,0.576,,0.707,0.501,No,0.134,—,27,0.038
159,Favorite Place to Go,Layup,Layup IV,My Saved Tracks,2:54,0.922,,0.570,0.274,No,0.130,—,31,0.030
160,Muerte En Hawaii,Calle 13,Entren Los Que Quieran,My Saved Tracks,3:09,0.789,PR,0.675,0.588,No,0.950,"comedy hip hop, hip hop, alternative hip hop, latin",73,0.177
161,El lado oscuro,Jarabe De Palo,La Flaca,My Saved Tracks,4:48,0.528,ES,0.818,0.723,No,0.090,"rock, pop rock, latin rock",75,0.030
162,Chateau,Angus & Julia Stone,Snow,My Saved Tracks,4:33,0.667,AU,0.657,0.587,No,0.106,"folk, indie pop",59,0.038
163,Sun,Derik Fein,Derik Fein Essentials,My Saved Tracks,3:02,0.012,,0.690,0.597,No,0.097,—,59,0.030
164,T echo de menos,José El Ciego,Ole lo puro canastero,My Saved Tracks,5:44,0.452,,0.700,0.676,No,0.084,—,32,0.058
165,Una Mota de Polvo,Eskorzo,Historias de amor y otras mierdas,My Saved Tracks,3:55,0.028,,0.572,0.642,No,0.193,—,23,0.036
166,Pobre Diabla,Don Omar,Musica Tropical Para Bailar,My Saved Tracks,4:15,0.217,PR,0.741,0.787,No,0.084,"reggaeton, latin",55,0.052
167,Te Guardo,Silvana Estrada,Primeras Canciones,My Saved Tracks,3:21,0.899,MX,0.440,0.387,No,0.089,—,5,0.052
168,Applejack,The Triangles,Magic Johnson,My Saved Tracks,2:40,0.311,,0.660,0.794,No,0.134,—,46,0.033
169,Too Sweet,Hozier,Unreal Unearth: Unaired,My Saved Tracks,4:11,0.041,IE,0.740,0.643,No,0.041,"blues rock, pop soul, blues, indie rock, soul, rock, chamber pop, singer-songwriter, folk rock, pop, r&b, pop rock",84,0.041
170,Stick Season,Noah Kahan,Stick Season,My Saved Tracks,3:02,0.799,US,0.664,0.500,No,0.097,"folk pop, pop",87,0.065
171,Down in the Past,Mando Diao,Hurricane Bar,My Saved Tracks,3:58,0.000,SE,0.536,0.705,No,0.086,"indie rock, alternative rock, garage rock, pop, garage punk, rock, pop rock, garage rock revival, folk rock",53,0.045
172,Banquet,Bloc Party,Silent Alarm,My Saved Tracks,3:21,0.000,GB,0.577,0.937,No,0.083,"indie rock, alternative rock, post-punk revival, new rave, indietronica, dance-punk, art rock",68,0.050
173,Wait so Long,Trampled by Turtles,Palomino,My Saved Tracks,3:26,0.506,US,0.257,0.921,No,0.139,"bluegrass, progressive bluegrass, folk rock, progressive folk",58,0.302
174,My Moon And Stars,Platinum Dust,My Moon And Stars,My Saved Tracks,1:56,0.568,,0.882,0.301,No,0.200,"hip hop, chillwave, instrumental hip hop, lo-fi, lo-fi hip hop, downtempo, boom bap, instrumental",5,0.775
175,Valentino,Luz Gaggi,Valentino,My Saved Tracks,2:43,0.315,AR,0.772,0.642,No,0.072,—,39,0.041
176,Otun (feat. Nidia Gongora),Montoya,Otun,My Saved Tracks,3:25,0.108,IT,0.846,0.582,No,0.402,—,34,0.100
177,Clear As Water - Hidden Jazz Quartett remix,Una Mas Trio,Clear As Water,My Saved Tracks,4:07,0.282,,0.845,0.344,No,0.070,—,51,0.072
178,Lo Que Hay,Señor Loop,Vikorg,My Saved Tracks,6:38,0.397,,0.586,0.446,No,0.120,—,45,0.034
